| S.No | Skip List Time | Set Time | Closeness (%) |
| 118  | 0.001914       | 0.002623 | 72.958029     |
| 119  | 0.002204       | 0.002130 | 96.623434     |
| 120  | 0.002193       | 0.001918 | 87.445614     |
| 121  | 0.002562       | 0.001826 | 71.279652     |
| 122  | 0.002092       | 0.001793 | 85.700085     |
| 123  | 0.002208       | 0.002551 | 86.544536     |
| 124  | 0.002268       | 0.002494 | 90.947731     |
| 125  | 0.002448       | 0.002009 | 82.093864     |
| 126  | 0.002451       | 0.001910 | 77.899970     |
| 127  | 0.002480       | 0.001854 | 74.740085     |
| 128  | 0.002021       | 0.002045 | 98.839727     |
| 129  | 0.002094       | 0.002548 | 82.155235     |
| 130  | 0.002868       | 0.002265 | 78.970779     |
| 131  | 0.002206       | 0.001839 | 83.368308     |
| 132  | 0.002034       | 0.002092 | 97.207145     |
| 133  | 0.002076       | 0.001902 | 91.636223     |
| 134  | 0.002181       | 0.001804 | 82.699247     |
| 135  | 0.002277       | 0.002498 | 91.145693     |
| 136  | 0.001982       | 0.001911 | 96.413325     |
| 137  | 0.003375       | 0.001886 | 55.884750     |
| 138  | 0.002235       | 0.002058 | 92.099834     |
| 139  | 0.001961       | 0.002676 | 73.268003     |
| 140  | 0.002061       | 0.001919 | 93.095207     |
| 141  | 0.002085       | 0.001733 | 83.093616     |
| 142  | 0.002086       | 0.001892 | 90.697298     |
| 143  | 0.002146       | 0.002062 | 96.110236     |
| 144  | 0.002273       | 0.001916 | 84.294544     |
| 145  | 0.002362       | 0.002407 | 98.106451     |
| 146  | 0.002089       | 0.002044 | 97.867154     |
| 147  | 0.002196       | 0.001842 | 83.866643     |
| 148  | 0.002293       | 0.001897 | 82.725561     |
| 149  | 0.002819       | 0.001723 | 61.109199     |
| 150  | 0.003293       | 0.002053 | 62.358329     |
| 151  | 0.002336       | 0.002131 | 91.217062     |
| 152  | 0.001988       | 0.001998 | 99.485585     |
| 153  | 0.002111       | 0.002117 | 99.707814     |
| 154  | 0.002097       | 0.001806 | 86.100769     |
| 155  | 0.002093       | 0.001899 | 90.740555     |
| 156  | 0.002145       | 0.001936 | 90.245509     |
| 157  | 0.002276       | 0.002290 | 99.397396     |
| 158  | 0.002018       | 0.002121 | 95.125973     |
| 159  | 0.002279       | 0.001979 | 86.840727     |
| 160  | 0.002152       | 0.002049 | 95.212509     |
| 161  | 0.002266       | 0.001894 | 83.571934     |
| 162  | 0.002110       | 0.001872 | 88.747302     |
| 163  | 0.002061       | 0.001997 | 96.880310     |
